SoundName,Database_Name,Sex_Voice,Emotion_Label,Begin,End,Duration,PeakTime,Amp(dB),PeakAmp,MinF0,MaxF0,MeanF0,StDevF0,Jitter,Shimmer,MaxHNR,MeanHNR,StDevHNR
M_Sonne_T_c_WasepSP_Norm,WASEPSemPosSonne,male,sad,0,0.7296,0.7296,0.268,65.6,74.8,75.0,593.4,321.6,219.5,0.013423109,1.70031906,23.87,9.7,10.78
M_Sonne_W_b_WasepSP_Norm,WASEPSemPosSonne,male,angry,0,0.7678,0.7678,0.342,63.2,77.1,88.3,357.0,134.2,79.61,0.005262569,1.385193982,23.74,-0.77,2.92
M_Sonne_s_WasepSP_Norm,WASEPSemPosSonne,male,neutral,0,0.5805,0.5805,0.252,64.7,75.3,81.6,148.7,116.3,23.91,0.003717517,1.380487882,36.44,4.37,3.0
M_Vernunft_A_WasepSP_Norm,WASEPSemPosVernunft,male,fear,0,0.8998,0.8998,0.217,57.7,77.4,102.1,542.0,169.3,120.16,0.003289921,1.804905199,43.5,8.73,6.93
M_Vernunft_E_WasepSP_Norm,WASEPSemPosVernunft,male,disgust,0,1.7097,1.7097,0.715,54.3,76.3,76.8,161.3,116.6,22.28,0.002105407,0.844408122,29.38,8.54,5.16
M_Vernunft_F_b_WasepSP_Norm,WASEPSemPosVernunft,male,happy,0,1.4365,1.4365,0.602,48.5,77.3,92.3,250.5,205.2,41.29,0.000885838,0.716368872,37.05,17.04,6.74
M_Vernunft_T_WasepSP_Norm,WASEPSemPosVernunft,male,sad,0,1.0327,1.0327,0.263,59.7,75.5,76.1,76.9,76.5,0.54,0.0,0.0,35.58,-2.05,9.57
M_Vernunft_W_c_WasepSP_Norm,WASEPSemPosVernunft,male,angry,0,1.2906,1.2906,0.592,59.8,76.0,112.9,182.7,151.9,20.7,0.002021215,0.811182907,33.02,7.07,4.71
M_Vernunft_s_WasepSP_Norm,WASEPSemPosVernunft,male,neutral,0,0.7735,0.7735,0.266,55.1,76.4,108.4,145.3,127.0,12.97,0.002712977,1.090673188,31.28,6.67,3.73
M_Wahrheit_A_c_WasepSP_Norm,WASEPSemPosWahrheit,male,fear,0,1.0448,1.0448,0.436,62.1,76.4,107.4,208.1,154.5,22.18,0.003311533,1.019421217,29.68,6.04,3.32
